"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 20 14:12:05 CST 2020","Tue Oct 20 14:12:07 CST 2020","1424","testcase.updateUserInfo","test_updateUserInfo","TestupdateUserInfo","","","不输入原密码修改用户名",""
"passed","Tue Oct 20 14:10:38 CST 2020","Tue Oct 20 14:10:40 CST 2020","2364","testcase.login","test_login","Testlogin","","","输入正确账号正确密码",""
"passed","Tue Oct 20 14:12:45 CST 2020","Tue Oct 20 14:12:49 CST 2020","3820","testcase.updateUserInfo","test_updateUserInfo","TestupdateUserInfo","","","输入新密码与确认密码不一致",""
"passed","Tue Oct 20 14:10:50 CST 2020","Tue Oct 20 14:11:55 CST 2020","65121","testcase.updateUserInfo","test_updateUserInfo","TestupdateUserInfo","","","进入修改用户界面",""
"passed","Tue Oct 20 14:12:30 CST 2020","Tue Oct 20 14:12:33 CST 2020","2466","testcase.updateUserInfo","test_updateUserInfo","TestupdateUserInfo","","","输入不合法手机号码",""
"passed","Tue Oct 20 14:12:49 CST 2020","Tue Oct 20 14:12:53 CST 2020","3673","testcase.updateUserInfo","test_updateUserInfo","TestupdateUserInfo","","","输入密码强度弱的密码",""
"passed","Tue Oct 20 14:12:07 CST 2020","Tue Oct 20 14:12:15 CST 2020","8293","testcase.updateUserInfo","test_updateUserInfo","TestupdateUserInfo","","","输入原密码修改用户名",""
"failed","Tue Sep 01 09:30:41 CST 2020","Tue Sep 01 09:31:13 CST 2020","31278","testcase.bridge","test_bridge","TestupdateUserInfo","","","获取桥梁行政区划",""
"passed","Tue Oct 20 14:10:35 CST 2020","Tue Oct 20 14:10:37 CST 2020","1680","testcase.login","test_login","Testlogin","","","输入正确账号错误密码",""
"passed","Tue Oct 20 14:11:55 CST 2020","Tue Oct 20 14:12:05 CST 2020","9992","testcase.updateUserInfo","test_updateUserInfo","TestupdateUserInfo","","","查看用户名用户账号",""
"passed","Tue Oct 20 14:12:33 CST 2020","Tue Oct 20 14:12:45 CST 2020","12121","testcase.updateUserInfo","test_updateUserInfo","TestupdateUserInfo","","","输入合法手机号码",""
"failed","Tue Oct 20 14:12:53 CST 2020","Tue Oct 20 14:13:06 CST 2020","13422","testcase.updateUserInfo","test_updateUserInfo","TestupdateUserInfo","","","输入符合格式的密码",""
"passed","Tue Oct 20 14:10:34 CST 2020","Tue Oct 20 14:10:35 CST 2020","805","testcase.login","test_login","Testlogin","","","查看APP二维码下载",""
"passed","Tue Oct 20 14:10:37 CST 2020","Tue Oct 20 14:10:37 CST 2020","443","testcase.login","test_login","Testlogin","","","输入空用户",""
"passed","Tue Oct 20 14:10:37 CST 2020","Tue Oct 20 14:10:38 CST 2020","411","testcase.login","test_login","Testlogin","","","输入空密码",""
"passed","Tue Sep 01 09:30:18 CST 2020","Tue Sep 01 09:30:41 CST 2020","23725","testcase.bridge","test_bridge","TestupdateUserInfo","","","进入桥梁设施调查界面",""
"passed","Tue Oct 20 14:12:18 CST 2020","Tue Oct 20 14:12:30 CST 2020","12659","testcase.updateUserInfo","test_updateUserInfo","TestupdateUserInfo","","","输入合法身份证号",""
"passed","Tue Oct 20 14:12:15 CST 2020","Tue Oct 20 14:12:18 CST 2020","2818","testcase.updateUserInfo","test_updateUserInfo","TestupdateUserInfo","","","输入不合法的身份证号码",""
